Vertragsnummer;Kundennummer;Produkt;Versicherer;Beginn;Ablaufdatum;Jahresbeitrag;Zahlweise;Status;Makler
VN-2021-0417;K-1001;Berufsunfähigkeit;Nürnberger;2021-05-01;2026-09-30;1284,00;jährlich;Aktiv;Sabine Weiß
VN-2023-0881;K-1001;Private Haftpflicht;Gothaer;2023-03-01;2027-03-01;98,40;jährlich;Aktiv;Sabine Weiß
VN-2019-1132;K-1002;Hausrat;Allianz;2019-10-15;2026-10-14;186,50;halbjährlich;Aktiv;Thomas Krüger
VN-2022-0088;K-1003;KFZ Haftpflicht;HUK-Coburg;2022-11-01;2026-10-31;742,00;vierteljährlich;Aktiv;Aylin Öztürk
VN-2024-0350;K-1003;Rechtsschutz;ARAG;2024-01-15;2027-01-14;312,75;jährlich;Aktiv;Aylin Öztürk
VN-2020-0761;K-1004;Private Haftpflicht;Gothaer;2020-11-09;2026-11-08;98,40;jährlich;Aktiv;Sabine Weiß
VN-2018-0290;K-1005;Risikoleben;Alte Leipziger;2018-11-23;2026-11-22;414,00;jährlich;Aktiv;Michael Brandt
VN-2023-0512;K-1006;Rechtsschutz;ARAG;2023-12-02;2026-12-01;312,75;halbjährlich;Aktiv;Aylin Öztürk
VN-2021-0938;K-1007;Berufsunfähigkeit;Swiss Life;2021-12-16;2026-12-15;1620,00;monatlich;Aktiv;Thomas Krüger
VN-2020-1477;K-1008;Krankenzusatz;Barmenia;2020-12-16;15.12.2026;528,00;monatlich;Aktiv;Sabine Weiß
VN-2022-0203;K-1009;Gebäudeversicherung;VHV;2022-01-01;2026-12-31;876,20;jährlich;Aktiv;Michael Brandt
VN-2019-0655;K-1010;Unfallversicherung;Continentale;2019-01-10;2027-01-09;248,00;jährlich;Aktiv;Thomas Krüger
VN-2021-1284;K-1011;KFZ Vollkasko;AXA;2021-01-21;2027-01-20;1108,00;vierteljährlich;Aktiv;Aylin Öztürk
VN-2018-0733;K-1012;Rentenversicherung;Zurich;2018-02-04;2027-02-03;2400,00;jährlich;Aktiv;Michael Brandt
VN-2023-0071;K-1013;Hausrat;Signal Iduna;2023-02-18;2027-02-17;204,90;jährlich;Aktiv;Sabine Weiß
VN-2020-0994;K-1014;Berufsunfähigkeit;Nürnberger;2020-03-01;2027-02-28;1455,60;monatlich;Aktiv;Thomas Krüger
VN-2022-0446;K-1015;Private Haftpflicht;HDI;2022-03-12;2027-03-11;112,00;jährlich;Aktiv;Aylin Öztürk
VN-2019-1508;K-1016;Rechtsschutz;Roland;2019-03-26;2027-03-25;356,40;halbjährlich;Aktiv;Michael Brandt
VN-2021-0329;K-1017;Krankenzusatz;Württembergische;2021-04-07;2027-04-06;672,00;monatlich;Aktiv;Sabine Weiß
